addressText,price,href,created,broadband
"913 Ongaonga-Waipukurau Road, Ongaonga, Central Hawke's Bay",Price by negotiation,/a/property/residential/sale/hawkes-bay/central-hawkes-bay/ongaonga/listing/4696407781?rsqid=a7bb7428e18a40629d7a42f85b4f6f7c-006,2024-10-07T07:38:40.063Z,"Fibre, ADSL, VDSL, Wireless"
"71 London Street, Kimbolton, Manawatu","Enquiries over $691,070",property/new-homes/house-land/manawatu-whanganui/manawatu/kimbolton/listing/4686349918?rsqid=a7bb7428e18a40629d7a42f85b4f6f7c-006,2024-10-07T07:38:40.080Z,None
"49  Shine Road, South Head, Rodney","Asking price $1,080,000",property/new-homes/house-land/auckland/rodney/south-head/listing/4840810940?rsqid=a7bb7428e18a40629d7a42f85b4f6f7c-006,2024-10-07T07:38:40.104Z,None
"228 Petley Road, Paparoa, Kaipara","Auction on 18 Oct, 1:00pm",/a/property/residential/sale/northland/kaipara/paparoa/listing/4680376180?rsqid=a7bb7428e18a40629d7a42f85b4f6f7c-006,2024-10-07T07:38:40.128Z,None
"980 State Highway 6, Rapahoe, Grey","Enquiries over $495,000",property/residential/sale/west-coast/grey/rapahoe/listing/4868531188?rsqid=a7bb7428e18a40629d7a42f85b4f6f7c-006,2024-10-07T07:38:40.148Z,None
"63 Kaihu Wood Rd, Dargaville, Kaipara","Asking price $409,000",property/residential/sale/northland/kaipara/dargaville/listing/4677092957?rsqid=a7bb7428e18a40629d7a42f85b4f6f7c-006,2024-10-07T07:38:40.167Z,None
"336 Spains Road, Awanui, Far North",Price by negotiation,/a/property/residential/sale/northland/far-north/awanui/listing/4669582471?rsqid=a7bb7428e18a40629d7a42f85b4f6f7c-006,2024-10-07T07:38:40.210Z,"ADSL, Wireless"
"4321 State Highway 1, Waipu, Whangarei","Asking price $879,000",/a/property/residential/sale/northland/whangarei/waipu/listing/4669510817?rsqid=a7bb7428e18a40629d7a42f85b4f6f7c-006,2024-10-07T07:38:40.228Z,"ADSL, Wireless"
"1104 Puketotara Road, Kerikeri, Far North","Asking price $759,000",/a/property/residential/sale/northland/far-north/kerikeri/listing/4667430834?rsqid=a7bb7428e18a40629d7a42f85b4f6f7c-006,2024-10-07T07:38:40.248Z,None
"8  Showground Road, Kerikeri, Far North",Price by negotiation,/a/property/residential/sale/northland/far-north/kerikeri/listing/4667293894?rsqid=a7bb7428e18a40629d7a42f85b4f6f7c-006,2024-10-07T07:38:40.265Z,"ADSL, VDSL, Wireless"
"52 McGreevy Street, Waipawa, Central Hawke's Bay",Price by negotiation,/a/property/residential/sale/hawkes-bay/central-hawkes-bay/waipawa/listing/4665689602?rsqid=a7bb7428e18a40629d7a42f85b4f6f7c-006,2024-10-07T07:38:40.283Z,"Fibre, ADSL, VDSL, Wireless"
"90 Hoeke Road, Carterton, Carterton","Asking price $515,000",/a/property/residential/sale/wellington/carterton/carterton/listing/4656344573?rsqid=a7bb7428e18a40629d7a42f85b4f6f7c-006,2024-10-07T07:38:40.301Z,None
"259 Kohukohu Road, Kohukohu, Far North","Asking price $640,000",/a/property/residential/sale/northland/far-north/kohukohu/listing/4652263625?rsqid=a7bb7428e18a40629d7a42f85b4f6f7c-006,2024-10-07T07:38:40.320Z,None
"227 Mt Lyford Forest Drive, Lyford, Hurunui","Asking price $695,000",/a/property/residential/sale/canterbury/hurunui/lyford/listing/4644923519?rsqid=a7bb7428e18a40629d7a42f85b4f6f7c-006,2024-10-07T07:38:40.338Z,"ADSL, Wireless"
"16 Thompson Road, Kaitaia, Far North",Price by negotiation,property/residential/sale/northland/far-north/kaitaia/listing/4641043327?rsqid=a7bb7428e18a40629d7a42f85b4f6f7c-006,2024-10-07T07:38:40.357Z,None
"87 Ostler Road, Twizel, Mackenzie",Auction on 26 Oct,/a/property/residential/sale/canterbury/mackenzie/twizel/listing/4633729740?rsqid=a7bb7428e18a40629d7a42f85b4f6f7c-006,2024-10-07T07:38:40.393Z,"ADSL, VDSL, Wireless"
"857B Paihia Road, Opua, Far North","Asking price $799,000",property/residential/sale/northland/far-north/opua/listing/4629854607?rsqid=1d8c9f408b8d4624bd722edae477d1d3-007,2024-10-07T07:38:40.612Z,None
"Lot 2/28 Flyer View Lane, Kingston, Queenstown-Lakes","Asking price $945,000",property/residential/sale/otago/queenstown-lakes/kingston/listing/4623867210?rsqid=1d8c9f408b8d4624bd722edae477d1d3-007,2024-10-07T07:38:40.642Z,None
"Lot 43/2 Gumtree Way, Hinemoki Estate, Kaiwaka, Kaipara","Asking price $998,700",property/new-homes/house-land/northland/kaipara/kaiwaka/listing/4819474768?rsqid=1d8c9f408b8d4624bd722edae477d1d3-007,2024-10-07T07:38:40.666Z,None
"22 Hafton Road, Kaukapakapa, Rodney",Price by negotiation,property/residential/sale/auckland/rodney/kaukapakapa/listing/4620470215?rsqid=1d8c9f408b8d4624bd722edae477d1d3-007,2024-10-07T07:38:40.683Z,None
"705 Whareora Road, Whareora, Whangarei","Enquiries over $985,000",property/residential/sale/northland/whangarei/whareora/listing/4620215306?rsqid=1d8c9f408b8d4624bd722edae477d1d3-007,2024-10-07T07:38:40.708Z,None
"285 Gibbons Road, Kaiwaka, Kaipara","Asking price $985,000",property/residential/sale/northland/kaipara/kaiwaka/listing/4620058787?rsqid=1d8c9f408b8d4624bd722edae477d1d3-007,2024-10-07T07:38:40.969Z,None
"1361 Main North Road, Urenui, New Plymouth","Enquiries over $879,000",property/residential/sale/taranaki/new-plymouth/urenui/listing/4608841368?rsqid=1d8c9f408b8d4624bd722edae477d1d3-007,2024-10-07T07:38:40.991Z,None
"28 Fairburn Road, Kaitaia, Far North","Asking price $820,000",property/residential/sale/northland/far-north/kaitaia/listing/4607039925?rsqid=1d8c9f408b8d4624bd722edae477d1d3-007,2024-10-07T07:38:41.013Z,None
"15 Dykin Rd, Kaingaroa, Far North","Asking price $799,000",property/residential/sale/northland/far-north/kaingaroa/listing/4817261347?rsqid=1d8c9f408b8d4624bd722edae477d1d3-007,2024-10-07T07:38:41.058Z,None
"1802  Ida Valley Road, Oturehua, Central Otago","Asking price $958,120",property/new-homes/house-land/otago/central-otago/oturehua/listing/4827562807?rsqid=1d8c9f408b8d4624bd722edae477d1d3-007,2024-10-07T07:38:41.079Z,None
"27 Waikoura Road, Kaeo, Far North","Asking price $325,000",property/residential/sale/northland/far-north/kaeo/listing/4592541576?rsqid=1d8c9f408b8d4624bd722edae477d1d3-007,2024-10-07T07:38:41.097Z,None
"2/82 Station Road, Waipukurau, Central Hawke's Bay","Enquiries over $980,000",property/residential/sale/hawkes-bay/central-hawkes-bay/waipukurau/listing/4588244012?rsqid=1d8c9f408b8d4624bd722edae477d1d3-007,2024-10-07T07:38:41.131Z,None
"68 Riverstream Drive, Kerikeri, Far North","Asking price $999,000",property/residential/sale/northland/far-north/kerikeri/listing/4584907590?rsqid=1d8c9f408b8d4624bd722edae477d1d3-007,2024-10-07T07:38:41.156Z,None
"80A Daniel Parade, Mangawhai, Kaipara",Price by negotiation,/a/property/residential/sale/northland/kaipara/mangawhai/listing/4578701548?rsqid=1d8c9f408b8d4624bd722edae477d1d3-007,2024-10-07T07:38:41.175Z,"ADSL, VDSL, Wireless"
"61 and 63A Half Mile Road, Tuatapere, Southland","Asking price $750,000",property/residential/sale/southland/southland/tuatapere/listing/4574382697?rsqid=1d8c9f408b8d4624bd722edae477d1d3-007,2024-10-07T07:38:41.194Z,None
"80 Lovell Road, Ruatangata, Whangarei","Asking price $799,000",property/residential/sale/northland/whangarei/ruatangata/listing/4571431530?rsqid=1d8c9f408b8d4624bd722edae477d1d3-007,2024-10-07T07:38:41.213Z,None
"813 Whangaripo Valley Road, Whangaripo, Rodney","Asking price $875,000",property/residential/sale/auckland/rodney/whangaripo/listing/4556974106?rsqid=1d8c9f408b8d4624bd722edae477d1d3-007,2024-10-07T07:38:41.231Z,None
"296 Punakitere Road, Taheke, Far North","Asking price $899,000",property/residential/sale/northland/far-north/taheke/listing/4555032611?rsqid=1d8c9f408b8d4624bd722edae477d1d3-007,2024-10-07T07:38:41.248Z,None
"33 Morgans Road, Akaroa, Banks Peninsula",Price by negotiation,property/residential/sale/canterbury/banks-peninsula/akaroa/listing/4946401337?rsqid=1d8c9f408b8d4624bd722edae477d1d3-007,2024-10-07T07:38:41.268Z,None
"255 Homestead Road, Oamaru, Waitaki","Asking price $999,000",property/new-homes/house-land/otago/waitaki/oamaru/listing/4480336625?rsqid=1d8c9f408b8d4624bd722edae477d1d3-007,2024-10-07T07:38:41.285Z,None
"41 Koutu Terrace, Opononi, Far North","Asking price $595,000",property/residential/sale/northland/far-north/opononi/listing/4478451909?rsqid=1d8c9f408b8d4624bd722edae477d1d3-007,2024-10-07T07:38:41.327Z,None
"15 Smith Road, Pakaraka, Far North","Asking price $950,000",property/residential/sale/northland/far-north/pakaraka/listing/4456996707?rsqid=1d8c9f408b8d4624bd722edae477d1d3-007,2024-10-07T07:38:41.361Z,None
"67 Welshmans Road, Marsden, Grey","Asking price $950,000",/a/property/residential/sale/west-coast/grey/marsden/listing/4963819959?rsqid=a124720be83847a4bc6b1340391175a8-001,2024-10-12T02:05:57.923Z,None
"1007A Miro Street, Mahora, Hastings","Enquiries over $750,000",property/residential/sale/hawkes-bay/hastings/mahora/listing/4962260962?rsqid=a124720be83847a4bc6b1340391175a8-001,2024-10-12T02:05:58.072Z,None
"39 Myross Road, Myross Bush, Invercargill","Enquiries over $850,000",/a/property/residential/sale/southland/invercargill/myross-bush/listing/4962217906?rsqid=a124720be83847a4bc6b1340391175a8-001,2024-10-12T02:05:58.098Z,ADSL
"3/71 Alma Road, Westport, Buller","Enquiries over $700,000",property/residential/sale/west-coast/buller/westport/listing/4961965099?rsqid=a124720be83847a4bc6b1340391175a8-001,2024-10-12T02:05:58.120Z,None
"99 Centre Bush Otapiri Road, Winton, Southland","Enquiries over $800,000",/a/property/residential/sale/southland/southland/winton/listing/4960130470?rsqid=a124720be83847a4bc6b1340391175a8-001,2024-10-12T02:05:58.174Z,"ADSL, VDSL, Wireless"
"923 Maungakaramea Road, Maungakaramea, Whangarei","Auction on 1 Nov, 12:00pm",/a/property/residential/sale/northland/whangarei/maungakaramea/listing/4960125436?rsqid=a124720be83847a4bc6b1340391175a8-001,2024-10-12T02:05:58.192Z,"ADSL, VDSL, Wireless"
"21 O'Neil Road, Kaukapakapa, Rodney","Asking price $970,000",property/residential/sale/auckland/rodney/kaukapakapa/listing/4960002013?rsqid=a124720be83847a4bc6b1340391175a8-001,2024-10-12T02:05:58.206Z,None
"409 Whatitiri Road, Poroti, Whangarei","Auction on 7 Nov, 11:00am",property/residential/sale/northland/whangarei/poroti/listing/4958480862?rsqid=a124720be83847a4bc6b1340391175a8-001,2024-10-12T02:05:58.220Z,None
"5 Main Road, Havelock, Marlborough",Deadline sale by 29 Oct,/a/property/residential/sale/marlborough/marlborough/havelock/listing/4958227968?rsqid=a124720be83847a4bc6b1340391175a8-001,2024-10-12T02:05:58.327Z,"ADSL, VDSL, Wireless"
"4 Kendall Road, Maungakaramea, Whangarei",Price by negotiation,/a/property/residential/sale/northland/whangarei/maungakaramea/listing/4956876602?rsqid=a124720be83847a4bc6b1340391175a8-001,2024-10-12T02:05:58.342Z,"ADSL, VDSL, Wireless"
"1123 Takaka-Collingwood Highway, Golden Bay, Tasman",Deadline sale by 31 Oct,/a/property/residential/sale/nelson-tasman/tasman/golden-bay/listing/4956606599?rsqid=a124720be83847a4bc6b1340391175a8-001,2024-10-12T02:05:58.358Z,"ADSL, Wireless"
"58 Takingawairua Road, Whitianga, Thames-Coromandel","Auction on 7 Nov, 11:00am",/a/property/residential/sale/waikato/thames-coromandel/whitianga/listing/4950475611?rsqid=a124720be83847a4bc6b1340391175a8-001,2024-10-12T02:05:58.392Z,None
