addressText,price,href,created,broadband
"1222 Akatarawa Road, Akatarawa, Upper Hutt","Auction on 18 Oct, 11:00am",/a/property/residential/sale/wellington/upper-hutt/akatarawa/listing/4932977504?rsqid=2536fa4924e844f68126b491f1938044-002,2024-10-07T07:38:34.850Z,ADSL
"6 Arapito Road, Karamea, Buller","Asking price $725,000",property/residential/sale/west-coast/buller/karamea/listing/4931402036?rsqid=2536fa4924e844f68126b491f1938044-002,2024-10-07T07:38:34.880Z,None
"41 Bluewater Heights, Matapouri, Whangarei","For sale by tender,  16 Oct",/a/property/residential/sale/northland/whangarei/matapouri/listing/4925483910?rsqid=2536fa4924e844f68126b491f1938044-002,2024-10-07T07:38:34.969Z,"ADSL, Wireless"
"7 Kensington Road, Marton, Rangitikei","Asking price $779,000",property/residential/sale/manawatu-whanganui/rangitikei/marton/listing/4924945225?rsqid=2536fa4924e844f68126b491f1938044-002,2024-10-07T07:38:35.003Z,None
"5 Yarborough Street, Kohukohu, Far North","Asking price $780,000",/a/property/residential/sale/northland/far-north/kohukohu/listing/4923709999?rsqid=2536fa4924e844f68126b491f1938044-002,2024-10-07T07:38:35.023Z,"ADSL, Wireless"
"Lot 13 Morgan Rise, Kaukapakapa, Rodney","Asking price $1,452,000",property/new-homes/house-land/auckland/rodney/kaukapakapa/listing/4922917212?rsqid=2536fa4924e844f68126b491f1938044-002,2024-10-07T07:38:35.040Z,None
"485 Wairere Road, Waitakere, Waitakere City","Auction on 19 Oct, 10:00am",/a/property/residential/sale/auckland/waitakere-city/waitakere/listing/4919693580?rsqid=2536fa4924e844f68126b491f1938044-002,2024-10-07T07:38:35.058Z,"ADSL, VDSL, Wireless"
"784 Hauraki Road, Turua, Hauraki","Asking price $859,000",property/residential/sale/waikato/hauraki/turua/listing/4913689806?rsqid=2536fa4924e844f68126b491f1938044-002,2024-10-07T07:38:35.076Z,None
"1470 Akatarawa Road, Akatarawa, Upper Hutt","For sale by tender,  9 Oct",/a/property/residential/sale/wellington/upper-hutt/akatarawa/listing/4913689595?rsqid=2536fa4924e844f68126b491f1938044-002,2024-10-07T07:38:35.093Z,Wireless
"87 Henry Road, Taupiri, Waikato",Deadline sale by 10 Oct,property/residential/sale/waikato/waikato/taupiri/listing/4913476129?rsqid=2536fa4924e844f68126b491f1938044-002,2024-10-07T07:38:35.110Z,None
"1970 Winton Lorneville Highway, Makarewa, Invercargill","Asking price $669,000",/a/property/residential/sale/southland/invercargill/makarewa/listing/4913323206?rsqid=2536fa4924e844f68126b491f1938044-002,2024-10-07T07:38:35.129Z,"ADSL, VDSL, Wireless"
"200 Martin Access Road, Warkworth, Rodney",Deadline sale by 8 Oct,/a/property/residential/sale/auckland/rodney/warkworth/listing/4907877977?rsqid=2536fa4924e844f68126b491f1938044-002,2024-10-07T07:38:35.147Z,None
"46 Clifden hwy , Tuatapere, Southland","Asking price $550,000",property/residential/sale/southland/southland/tuatapere/listing/4940970314?rsqid=2536fa4924e844f68126b491f1938044-002,2024-10-07T07:38:35.169Z,None
"578 A Three Mile Bush Road, Kamo, Whangarei","Asking price $990,000",property/residential/sale/northland/whangarei/kamo/listing/4905024825?rsqid=2536fa4924e844f68126b491f1938044-002,2024-10-07T07:38:35.263Z,None
"43 Palmer Road, Waipu, Whangarei",Price by negotiation,/a/property/residential/sale/northland/whangarei/waipu/listing/4901568938?rsqid=2536fa4924e844f68126b491f1938044-002,2024-10-07T07:38:35.291Z,Wireless
"42 Mangatete Heights, Kaingaroa, Far North",Deadline sale by 4 Oct,/a/property/residential/sale/northland/far-north/kaingaroa/listing/4901295150?rsqid=2536fa4924e844f68126b491f1938044-002,2024-10-07T07:38:35.314Z,"ADSL, VDSL, Wireless"
"1809 Whaanga Road, Raglan, Waikato","Asking price $730,000",/a/property/residential/sale/waikato/waikato/raglan/listing/4899884865?rsqid=2536fa4924e844f68126b491f1938044-002,2024-10-07T07:38:35.333Z,Wireless
